scaffold,coverage,stdev
1,15.2511,9.82114
2,0.0124188,0.150522
3,18.4349,10.4674
4,6.45351,4.46148
5,3.78837,3.03762
6,6.25512,3.68351
7,3.18806,2.76279
8,754.893,333.568
9,688.603,270.84
10,16.6481,8.56645
11,4.86751,3.86955
12,6.02316,3.66157
13,748.602,276.13
14,6.10986,3.37017
15,658.726,243.017
16,6.68595,3.60362
17,6.47311,3.49826
18,0.0119814,0.262268
19,14.8933,8.12189
20,0.0105986,0.141177
21,5.56206,3.37921
22,0.00856502,0.123765
23,0.0245322,0.190753
24,7.40124,5.06895
25,0.00383682,0.0875153
26,6.52034,3.55859
27,0.0355302,0.406829
28,3.57127,2.88984
29,6.22004,3.41287
30,5.62701,4.00341
31,6.05773,3.40726
32,599.992,297.554
33,5.89181,3.44754
34,6.70334,4.22239
35,3.97394,3.01401
36,3.73087,2.88645
37,3.4421,2.88192
38,3.70149,2.83566
39,3.7151,3.05058
40,5.294,3.91502
41,19.9562,10.7281
42,5.94421,3.55162
43,17.332,10.0587
44,5.45604,3.56378
45,3.67182,2.87523
46,15.614,8.34202
47,0.00601382,0.0773153
48,6.92138,4.45412
49,6.1625,3.32462
50,3.75347,2.79685
51,6.92887,4.43308
52,674.185,279.297
53,0.00136182,0.0521707
54,6.45005,3.98063
55,5.64173,3.9493
56,3.85939,3.11903
57,17.2948,9.20431
58,5.95551,3.7984
59,6.4517,3.54458
60,0.00693496,0.111658
61,20.5677,10.0771
62,3.76322,2.93128
63,3.22198,2.74556
64,6.83421,3.73078
65,0,0
66,6.81742,4.61208
67,3.12173,2.61544
68,5.20156,3.70877
69,584.053,265.673
70,4.79128,3.70621
71,6.68899,4.92179
72,3.80006,2.81388
74,7.25918,4.43137
75,6.49025,4.14485
76,5.73485,4.80736
77,600.414,286.64
78,5.92026,4.24175
79,14.1131,9.20409
80,4.42597,3.49847
81,3.64296,2.89191
82,3.25145,2.70783
83,4.74108,3.79358
84,726.717,281.341
85,5.94092,4.26545
86,6.52067,4.28452
87,5.23252,4.56905
88,6.9514,4.07466
90,15.6804,8.04852
91,6.51534,4.4125
92,15.4838,8.91371
93,14.1609,8.2226
94,3.70498,2.88793
96,689.16,301.087
97,3.75821,2.93305
98,4.29628,2.82075
99,7.15488,4.72385
100,0.0120723,0.137072
101,3.80109,2.92847
102,3.88419,3.18685
103,3.58048,2.81067
104,7.96081,4.47529
105,6.73648,5.01618
107,653.115,282.312
108,7.52273,3.88559
109,0.0547455,0.398826
110,3.6746,2.72648
111,0.015592,0.268916
112,7.68791,4.58216
113,3.5453,2.73554
115,7.13708,5.92338
116,4.02778,3.03701
117,5.84854,4.27881
118,619.731,277.138
119,511.739,307.378
121,6.2004,3.67214
122,12.8652,7.649
123,27.2843,14.4449
124,0,0
125,1.30313,1.46358
126,4.14538,3.26984
128,5.11439,3.77196
130,5.9845,4.85627
132,4.9462,3.27586
133,6.11482,4.01842
137,0,0
138,6.32251,4.17439
139,605.901,221.115
140,16.4037,9.3282
142,6.15,4.62016
143,5.1132,3.88381
144,3.46468,2.92653
145,5.53794,3.33938
147,3.19998,2.59963
148,511.34,298.788
150,0.014436,0.156397
152,0,0
153,6.25338,4.18291
154,3.81789,2.75193
155,7.5375,4.04329
157,3.73526,2.78116
158,0,0
159,0.0153599,0.162956
160,5.80645,3.43733
161,6.79189,3.33326
164,7.29349,4.52808
165,6.35882,3.48682
166,5.98091,3.22941
168,7.15618,4.69142
170,6.83258,4.47616
172,5.34487,3.58262
174,4.01471,3.14576
176,3.55344,3.07509
177,0,0
178,3.54339,2.50708
179,758.723,264.993
180,5.23772,3.48671
183,6.2672,3.94622
184,214.012,94.7459
185,6.51504,4.28148
186,2.04697,2.24186
187,632.791,294.123
189,6.99314,4.35297
190,6.71735,4.52958
193,4.78276,3.24967
195,5.13161,3.57809
196,4.49466,3.16547
197,5.66958,3.51123
199,2.79263,3.52881
201,5.49329,3.27628
203,5.00345,3.28066
204,63.6697,30.6374
205,3.43407,2.86556
206,3.0447,2.5808
207,3.2887,3.21238
209,6.91777,4.0281
210,0,0
211,0.00489375,0.0988107
212,3.02691,2.60046
213,18.4938,11.6217
216,7.51117,4.49773
217,3.7665,2.88971
218,1.35111,1.76684
219,16.9794,8.23434
220,3.61069,2.68893
223,3.56272,2.99975
226,30.4782,12.9989
228,4.71951,3.79736
230,3.72511,2.85775
233,4.38117,2.93061
235,6.82243,4.52145
237,3.90743,2.95532
239,5.49,3.94
241,14.5884,9.26515
242,5.38472,4.53132
243,4.88695,4.32476
244,2.97115,2.33578
246,6.28074,4.85969
248,2.75964,2.73902
249,5.44353,3.40928
252,73.6286,35.3202
253,3.65894,3.01476
256,1.24725,1.48942
258,0.734684,1.172
261,6.60064,5.00656
263,0.980284,1.35531
264,3.61396,3.08771
265,4.40563,3.52903
266,4.76874,3.73138
267,5.58794,3.83445
269,1.0466,1.66655
271,4.86169,3.55101
272,2.58287,2.49761
273,1.42696,1.74719
278,6.44576,3.49842
279,50.8383,35.2863
280,4.5982,3.48126
281,4.84242,4.21623
282,6.4623,4.27725
284,4.37781,3.62126
288,0.695917,1.09682
291,718.676,288.569
292,5.81529,4.32115
294,3.34224,2.68904
296,2.60312,2.58652
299,6.22086,4.92788
300,9.87364,9.77219
304,3.1097,2.76835
305,5.15177,3.72632
307,5.9243,3.38026
308,6.34105,4.23656
315,6.41474,3.3452
316,5.94448,4.67728
317,5.29644,4.18962
324,9.23832,6.31341
326,541.665,351.784
327,14.5424,7.35318
330,4.51714,2.98087
336,3.9367,3.17759
339,238.571,98.6218
344,5.18688,3.36803
346,3.05969,2.55376
347,150.296,88.666
348,5.76443,4.62708
351,5.03213,3.17895
353,3.37591,2.61321
355,1.46781,1.98693
356,5.24863,3.71193
360,5.51714,5.78779
362,533.394,263.321
370,3.77288,2.88007
372,5.64006,3.34912
375,4.3335,3.52232
376,4.79586,3.57047
377,3.55737,3.04665
381,2.98856,2.43339
382,22.8088,10.9064
384,1.86001,1.91866
385,4.46419,2.76221
389,3.35361,2.9137
390,5.84444,4.25837
391,6.97905,4.14979
392,3.76944,2.85629
395,5.76622,3.84703
397,95.1985,38.4314
399,5.40132,3.59276
401,4.82377,3.34503
402,6.38271,4.36486
406,0,0
410,33.4896,22.9619
413,2.77243,2.18908
421,4.24317,2.91345
424,284.881,214.396
427,4.75614,3.37586
429,4.94044,3.8603
434,3.84254,2.69416
435,0,0
436,5.62577,3.24146
438,4.97496,3.05101
439,1.12816,1.33032
440,15.9481,9.86
443,359.054,275.155
446,6.24579,4.1694
448,19.8031,12.0537
449,3.58916,3.29314
450,6.01288,3.95866
451,6.51022,4.28687
452,5.87574,4.03151
453,53.2716,16.8732
454,4.90108,3.35843
456,5.5644,4.45018
458,6.89264,4.37778
459,3.86106,3.16845
463,639.775,249.929
464,18.8437,15.0794
465,0,0
466,773.91,270.612
468,0.713457,1.14222
469,1.26214,1.8523
472,7.16012,4.62406
474,11.0076,6.54705
479,4.82069,3.76111
482,3.84613,2.98911
486,1.29784,1.61174
487,5.30646,3.0538
492,7.09362,4.61818
495,2.74653,2.13859
499,1.78866,2.37834
505,3.68909,2.88464
510,15.7047,13.4877
511,82.6826,48.5734
515,613.401,234.904
517,3.95763,3.38136
520,3.32474,3.12452
527,3.74144,2.77401
531,5.41376,3.61837
534,4.00342,3.50197
535,697.557,280.535
536,2.83667,3.87003
541,6.0226,3.48173
542,4.44463,3.21934
546,4.19107,2.88827
548,4.66352,3.20933
549,3.8189,2.81851
553,8.68098,3.99527
555,2.05213,2.24653
556,48.7428,27.0934
557,3.51412,2.62069
561,4.45422,3.57717
565,945.425,258.397
567,3.27488,2.61379
569,3.83333,3.02353
571,3.31714,2.48547
577,5.66417,3.73596
581,2.87589,2.0253
585,7.76193,5.67613
594,2.95729,2.5631
599,23.356,11.5764
611,22.4202,9.83426
612,64.6795,35.6904
615,4.12335,3.30671
617,5.69642,4.49036
622,6.43151,5.77967
625,7.51575,9.96082
626,0,0
629,25.564,12.6725
630,1.64748,1.69085
632,3.00585,2.81351
635,6.55261,4.16381
636,7.31565,4.95754
641,4.01698,2.9681
642,4.9794,3.39744
643,3.23666,3.04986
655,3.8929,3.36703
657,449.512,348.978
658,130.761,86.3714
667,1.16338,1.66453
669,9.37418,5.64628
674,3.79243,3.31419
675,3.21979,2.50855
679,8.11832,5.04948
681,9.50591,6.09488
682,6.52474,4.10073
686,5.92108,4.41074
687,0.613866,0.937214
691,6.13554,3.69285
697,0.984348,1.56317
698,5.73062,3.43583
699,39.0282,17.6855
700,8.00635,6.19935
707,1.5345,1.81552
708,6.69002,3.75626
710,5.82654,3.7924
712,4.03401,3.32842
713,2.73232,2.43658
715,5.33723,3.01099
716,0.753313,1.474
717,2.07809,1.99073
727,5.22161,3.41089
731,5.86027,3.72179
732,5.45676,3.49755
734,2.73001,2.17067
739,14.2359,5.95994
742,3.34205,2.63119
744,0,0
745,16.7814,27.6339
746,6.20317,3.67903
751,6.86856,3.77126
754,6.34071,3.58914
756,5.5555,4.41903
764,5.84347,4.16686
769,4.71141,2.93648
772,1.86547,2.36204
777,4.00092,3.00447
779,6.4369,5.90605
781,8.53664,7.37691
783,1.98684,2.23866
784,4.79623,2.48324
786,6.23351,3.49132
787,285.325,136.709
788,3.43295,2.49596
789,5.98348,2.70395
791,3.25365,2.25762
792,6.55467,4.86434
798,1.56556,1.72069
802,4.12258,3.62254
803,5.42618,4.52254
807,14.0457,6.29516
812,2.25071,2.5504
814,4.20087,4.25988
815,5.41427,3.28324
828,4.70941,2.60701
830,3.36113,2.74205
831,1.91882,2.30084
832,8.44425,10.1342
835,53.1774,17.3579
838,1.65603,1.87519
840,3.70947,3.11772
841,0.22207,2.85692
846,18.6103,9.11944
848,411.019,182.402
854,7.19042,5.36273
857,24.4714,10.5349
862,7.9046,5.69501
864,1.9968,1.96616
865,3.03216,2.52701
867,5.92647,3.81587
872,1.92949,1.96252
883,3.62482,3.12629
884,6.30658,3.63386
886,6.87012,4.19536
887,331.708,201.621
890,5.00628,3.79902
891,38.2935,18.9202
892,5.27882,3.41952
893,163.523,76.3698
896,3.74497,3.28837
899,233.881,138.946
903,5.41495,3.45694
905,5.91452,4.05202
908,5.3686,4.73509
910,5.18869,3.55118
917,54.0314,25.0404
918,5.58322,4.35735
920,4.54144,2.85827
925,7.10757,4.6123
929,7.01083,4.17988
930,5.91836,4.32317
933,7.53371,4.90573
935,5.24562,3.30687
940,4.86707,3.10678
946,2.3043,1.87762
947,5.55684,2.89146
954,1.696,2.00699
955,1.24246,1.01189
959,1.20404,1.65302
969,5.65385,3.36592
971,7.34266,4.5976
972,5.89622,3.82594
975,215.987,75.7922
977,2.85132,2.36243
979,0,0
983,2.59184,1.73307
985,3.42516,3.27515
988,122.322,48.3564
990,3.00367,3.2091
1004,5.16783,3.90971
1005,2.96335,3.22535
1007,2.85369,2.64343
1011,7.02185,3.99644
1015,3.81185,3.1047
1016,0.0525119,0.274667
1021,47.2326,20.8956
1026,6.64536,3.44314
1028,6.41417,5.02173
1030,4.37652,4.43411
1031,108.93,45.3362
1035,1.64227,1.8832
1036,7.1634,6.1238
1041,5.57311,5.05622
1042,5.84692,3.13662
1043,4.3312,2.0767
1048,5.7146,3.95364
1052,4.01511,3.2911
1053,6.88263,5.98313
1055,3.71224,2.93133
1058,4.32578,3.34501
1062,5.70097,4.13149
1065,9.95973,3.80471
1068,4.799,3.97932
1069,7.80252,5.00119
1071,56.8125,39.9451
1073,3.44021,2.52577
1075,7.61951,4.64074
1078,4.101,2.53731
1081,42.1046,50.3986
1090,9.21233,4.27461
1091,5.37007,3.16082
1092,1.9631,2.34837
1096,1.1092,1.50489
1097,0,0
1098,42.9979,21.5374
1106,5.39623,3.88085
1107,7.23244,4.26442
1108,5.17185,3.47945
1113,32.1682,49.7027
1114,3.58045,3.25043
1116,3.39442,2.36078
1117,3.02259,2.70563
1118,5.90427,4.61865
1119,6.63784,5.32725
1120,2.65645,2.59639
1128,6.50281,4.30663
1130,571.416,252.542
1131,4.97332,2.98745
1137,3.59607,3.02579
1142,2.9682,2.62554
1144,6.87155,4.33055
1145,5.78183,2.84862
1156,3.11754,3.0571
1160,2.03567,2.09281
1162,7.13345,4.21555
1171,0.0837113,0.390692
1174,2.6508,2.00576
1180,4.12128,2.29635
1186,75.6085,22.3437
1192,0.93142,1.35621
1194,1.63487,1.94885
1196,2.39438,2.36235
1197,2.02257,2.28051
1198,2.57773,2.78445
1200,2.55726,2.22378
1203,7.56494,3.79158
1204,2.42061,1.61046
1206,5.13637,3.46971
1208,1.61327,1.51786
1209,4.36521,3.29006
1211,0.31275,0.600886
1221,4.95085,3.44767
1222,30.5314,15.9877
1230,7.49366,4.94495
1233,0,0
1234,347.397,130.825
1237,196.756,104.172
1242,152.027,101.099
1247,25.0951,12.4304
1249,229.601,158.817
1251,7.43298,5.58074
1260,9.36095,4.26116
1261,6.82031,3.9177
1268,7.36915,3.95895
1273,2.82051,2.63113
1277,3.46319,2.98815
1280,3.14322,3.07446
1281,6.74432,5.45448
1282,5.01165,3.95234
1289,4.21878,2.6671
1291,6.80728,3.41981
1302,6.97518,3.96594
1303,6.21443,3.54691
1312,7.84888,4.10555
1313,2.6424,2.44158
1315,3.35688,3.9218
1316,2.9586,2.39503
1317,2.19214,1.93939
1318,0.960257,2.02037
1320,7.05079,5.17842
1325,22.2377,30.3596
1326,4.19017,2.6696
1327,1.58426,2.06698
1333,1.98576,2.19329
1336,2.67095,2.33961
1338,2.05343,2.25821
1348,6.7606,4.93763
1350,105.818,37.2523
1352,307.457,98.8241
1358,1.76649,2.00351
1359,7.37436,4.29497
1364,5.12245,4.2077
1365,8.93471,5.60846
1366,3.9664,2.78313
1367,3.35255,2.78114
1380,5.08617,2.94118
1390,5.61914,3.98674
1393,0.52535,0.846581
1404,7.96595,4.67657
1410,5.87691,3.81316
1412,1.465,1.46842
1417,2.99439,2.5973
1427,6.63598,3.84812
1432,356.583,118.353
1433,0.721144,1.1056
1448,195.163,92.6993
1456,4.84192,2.70776
1460,9.58871,5.59284
1463,5.90343,3.65621
1475,6.30077,2.78291
1476,6.5558,4.94765
1480,9.5959,4.35362
1482,2.84676,2.4949
1487,0.479437,0.691823
1493,8.75004,4.57885
1496,5.01842,3.35943
1497,4.63038,2.7453
1501,186.148,70.6102
1512,0,0
1515,9.28436,5.48038
1523,5.52123,3.12208
1527,3.10548,2.49112
1529,3.15437,2.44449
1534,4.74031,3.51598
1535,3.70514,2.64568
1536,2.23278,1.95755
1542,0,0
1548,6.17276,3.8489
1552,5.65717,4.34769
1557,3.7171,3.63649
1563,3.34677,2.51023
1564,7.71189,5.33118
1589,5.63721,3.25489
1604,4.84427,3.70573
1625,2.22372,2.4893
1627,3.19134,1.88462
1628,2.19608,1.81162
1631,4.2829,3.41087
1636,3.34043,2.41792
1639,1.71924,1.6184
1641,4.79945,4.16372
1643,7.85291,3.61856
1657,1.0946,1.35615
1659,0.689983,1.08408
1660,1.71843,1.88873
1669,6.19976,4.04608
1671,1.40799,1.39005
1674,5.89075,3.69457
1685,23.3033,11.0138
1687,1.31205,1.8774
1688,7.1505,3.23729
1697,0,0
1698,2.6642,2.22929
1701,233.46,63.6654
1744,59.1255,50.9178
1746,0.863021,1.24778
1749,2.88315,2.57134
1752,5.02623,4.23691
1755,1.68842,1.98724
1757,1.30747,1.71789
1784,6.7192,3.61208
1790,26.774,18.0217
1795,5.02141,2.96386
1800,6.49408,4.53624
1807,5.14884,3.76819
1810,1.49496,1.72743
1811,70.1418,38.6819
1817,6.34263,4.46987
1818,0.996445,1.42902
1828,1.3168,1.37677
1831,6.3356,4.9705
1833,7.38357,3.56941
1846,3.07461,2.21161
1847,4.77628,3.23561
1853,2.18894,1.88624
